judge_id,judge_name,years_experience,specialization
1,Ronald Moore,21,Civil
2,Larry Armstrong DDS,1,Labor
3,Brandon Brown,8,Criminal
4,Christine Suarez,5,Civil
5,Elizabeth Brown,22,Administrative
6,Thomas Keith,3,Administrative
7,Jason Skinner,14,Civil
8,Curtis Murphy,1,Civil
9,Matthew Reynolds,7,Criminal
10,David Anderson,17,Administrative
11,Joshua Kim,1,Administrative
12,Brian Young,7,Administrative
13,Edward Taylor,14,Criminal
14,Jenna Harris,15,Administrative
15,John Barber,9,Civil
16,Michael Maldonado,25,Criminal
17,Kyle Sampson,23,Family
18,Patricia Williams,11,Labor
19,Timothy Hall,5,Criminal
20,Adam Ramirez,25,Labor
21,Tiffany Nichols,4,Civil
22,Stacey Wang,13,Civil
23,Alyssa Little,12,Labor
24,Crystal Rodriguez,20,Labor
25,Benjamin Ryan,26,Civil
26,Christopher Hamilton,24,Family
27,Larry Cooper,18,Civil
28,Andrew Miller,30,Family
29,Curtis Allen,3,Administrative
30,Donna Mack,10,Administrative
31,Kayla Smith,29,Labor
32,Lauren Jones,19,Criminal
33,Jordan Tran,23,Civil
34,Cassandra Allen,2,Criminal
35,Hannah Ramirez,25,Labor
36,Jessica Johnson,3,Criminal
37,Madison Kline,28,Civil
38,Molly Conrad,13,Labor
39,Denise Valencia,15,Labor
40,Heather Ayala,6,Labor
41,Crystal Marshall,12,Criminal
42,Jamie Tucker,22,Labor
43,Ashley Castillo,23,Civil
44,Mary Whitaker,20,Criminal
45,Cindy Stevens MD,18,Criminal
46,Jennifer Vargas,6,Family
47,Todd Lopez,13,Labor
48,James Richards,30,Administrative
49,Vincent Kramer,8,Labor
50,Renee Romero,27,Civil
51,Michele Wilkinson,8,Civil
52,Patrick Thomas,26,Labor
53,Dana Solis,13,Labor
54,Jessica Wu,3,Criminal
55,Erika Wood,30,Administrative
56,David Kelly,29,Labor
57,Laura Robles,7,Family
58,Matthew Livingston,13,Family
59,Carrie Brown,5,Labor
60,Vincent Sullivan,5,Criminal
61,Kristin Gray,24,Administrative
62,Jeffrey Herrera,18,Labor
63,Catherine Collins DDS,24,Administrative
64,Shawn Norman,14,Administrative
65,Andrew King,13,Labor
66,Amanda Cruz,8,Criminal
67,Samantha Dalton,17,Family
68,Jane Robertson,3,Civil
69,Alfred Greene,28,Civil
70,Lori Odonnell MD,5,Criminal
71,Donald Nelson,26,Family
72,Brian Russell,20,Civil
73,Mark Wheeler,13,Family
74,Eric Moore,20,Family
75,Diana Wilson,17,Labor
76,Sarah Jones,18,Civil
77,Cheryl Chan,22,Civil
78,Joseph Davis,22,Administrative
79,Beth Johnson,25,Labor
80,Gary Wall,25,Labor
81,Matthew Preston,4,Labor
82,Angel Livingston,14,Criminal
83,Kenneth Dominguez,15,Civil
84,Samantha Snyder,24,Labor
85,Teresa Morris,17,Criminal
86,Omar Chaney,17,Civil
87,Shane Ferguson,28,Labor
88,Eric Bell,27,Administrative
89,Cathy Lamb,20,Criminal
90,Trevor Fuller,5,Labor
91,Patricia Green,25,Criminal
92,John Price,18,Administrative
93,Katelyn Baker,30,Civil
94,Erin Wise,20,Labor
95,Kevin Lamb,16,Civil
96,Justin Murphy,4,Labor
97,Sonia Black,29,Labor
98,Logan Conner,8,Civil
99,Diane Sullivan,8,Administrative
100,Judy Blackwell,3,Civil
